Date,DHB,Active,Recovered,Deceased,Total
2021-02-22,South Canterbury,0,17,0,17
2021-02-22,Northland,0,29,0,29
2021-02-22,Nelson Marlborough,0,49,0,49
2021-02-22,Mid Central,0,32,0,32
2021-02-22,Lakes,0,16,0,16
2021-02-22,Hutt Valley,0,24,0,24
2021-02-22,Hawke's Bay,0,44,0,44
2021-02-22,Counties Manukau,8,216,1,225
2021-02-22,Capital and Coast,0,94,2,96
2021-02-22,Canterbury,0,156,12,168
2021-02-22,Bay of Plenty,0,48,0,48
2021-02-22,Managed Isolation & Quarantine,46,583,1,630
2021-02-22,Total,54,2277,26,2357
2021-02-23,Auckland,0,225,1,226
2021-02-23,Whanganui,0,9,0,9
2021-02-23,West Coast,0,4,1,5
2021-02-23,Waitemata,0,296,4,300
2021-02-23,Wairarapa,0,8,0,8
2021-02-23,Waikato,0,193,2,195
2021-02-23,Taranaki,0,16,0,16
2021-02-23,Tairawhiti,0,4,0,4
2021-02-23,Southern,0,214,2,216
2021-02-23,South Canterbury,0,17,0,17
2021-02-23,Northland,0,29,0,29
2021-02-23,Nelson Marlborough,0,49,0,49
2021-02-23,Mid Central,0,32,0,32
2021-02-23,Lakes,0,16,0,16
2021-02-23,Hutt Valley,0,24,0,24
2021-02-23,Hawke's Bay,0,44,0,44
2021-02-23,Counties Manukau,9,216,1,226
2021-02-23,Capital and Coast,0,94,2,96
2021-02-23,Canterbury,0,156,12,168
2021-02-23,Bay of Plenty,0,48,0,48
2021-02-23,Managed Isolation & Quarantine,51,583,1,635
2021-02-23,Total,60,2277,26,2363
2021-02-24,Auckland,0,225,1,226
2021-02-24,Whanganui,0,9,0,9
2021-02-24,West Coast,0,4,1,5
2021-02-24,Waitemata,0,296,4,300
2021-02-24,Wairarapa,0,8,0,8
2021-02-24,Waikato,0,193,2,195
2021-02-24,Taranaki,0,16,0,16
2021-02-24,Tairawhiti,0,4,0,4
2021-02-24,Southern,0,214,2,216
2021-02-24,South Canterbury,0,17,0,17
2021-02-24,Northland,0,29,0,29
2021-02-24,Nelson Marlborough,0,49,0,49
2021-02-24,Mid Central,0,32,0,32
2021-02-24,Lakes,0,16,0,16
2021-02-24,Hutt Valley,0,24,0,24
2021-02-24,Hawke's Bay,0,44,0,44
2021-02-24,Counties Manukau,11,216,1,228
2021-02-24,Capital and Coast,0,94,2,96
